Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Leicester City,In High School,3100,0.32291666666667,170000,0.3469387755102,93.075980392157
Leicester City,Some High School,25000,2.6041666666667003,1300000,2.6530612244897998,98.15705128205099
Leicester City,High School Grad,140000,14.583333333333002,6400000,13.061224489796,111.65364583333
Leicester City,Undergrad,22000,2.2916666666667003,1400000,2.8571428571429,80.208333333333
Leicester City,Alum,280000,29.166666666667,13000000,26.530612244898,109.9358974359
Leicester City,Some College,32000,3.3333333333332997,1600000,3.265306122449,102.08333333333
Leicester City,Associate Degree,1000,0.10416666666666999,1000,0.0020408163265306,5104.1666666667
Leicester City,In Grad School,1000,0.10416666666666999,84000,0.17142857142857001,60.763888888889
Leicester City,Some Grad School,2200,0.22916666666667004,180000,0.36734693877551006,62.384259259259004
Leicester City,Master´s Degree,16000,1.6666666666667,1100000,2.2448979591837,74.24242424242401
Leicester City,Professional Degree,1000,0.10416666666666999,22000,0.044897959183672995,232.00757575757999
Leicester City,Doctorate Degree,1000,0.10416666666666999,38000,0.077551020408163,134.32017543860002
