Club,interestName,assetSize,assetPercentage,benchmarkSize,benchmarkPercentage,affinity
Tottenham Hotspur,In High School,7000,0.36842105263158004,170000,0.3469387755102,106.19195046440001
Tottenham Hotspur,Some High School,43000,2.2631578947368,1300000,2.6530612244897998,85.303643724696
Tottenham Hotspur,High School Grad,220000,11.578947368421,6400000,13.061224489796,88.651315789474
Tottenham Hotspur,Undergrad,48000,2.5263157894737,1400000,2.8571428571429,88.421052631579
Tottenham Hotspur,Alum,450000,23.684210526316,13000000,26.530612244898,89.271255060729
Tottenham Hotspur,Some College,57000,3.0,1600000,3.265306122449,91.875
Tottenham Hotspur,Associate Degree,1000,0.052631578947367995,1000,0.0020408163265306,2578.9473684211
Tottenham Hotspur,In Grad School,1800,0.09473684210526301,84000,0.17142857142857001,55.263157894737
Tottenham Hotspur,Some Grad School,4300,0.22631578947368,180000,0.36734693877551006,61.608187134503005
Tottenham Hotspur,Master´s Degree,28000,1.4736842105263002,1100000,2.2448979591837,65.645933014354
Tottenham Hotspur,Professional Degree,1000,0.052631578947367995,22000,0.044897959183672995,117.22488038278
Tottenham Hotspur,Doctorate Degree,1000,0.052631578947367995,38000,0.077551020408163,67.86703601108
